Time,X,Y
14492.099999999627,431,223
14507.299999998882,431,223
14525.199999999255,433,227
14541.299999998882,433,227
14558.699999999255,442,222
14574.39999999851,442,222
14591.299999998882,435,229
14607.199999999255,435,229
14624.89999999851,449,226
14641.099999999627,449,226
14658,433,237
14674.799999998882,433,237
14691.199999999255,444,238
14707.599999999627,444,238
14724.299999998882,424,247
14740.599999999627,424,247
14758.599999999627,422,247
14773.799999998882,422,247
14792.299999998882,417,251
14808,417,251
14824.39999999851,425,247
14840.5,425,247
14858.799999998882,413,253
14873.799999998882,413,253
14891,412,250
14907.099999999627,412,250
14925.5,412,249
14940.699999999255,412,249
14957.699999999255,420,245
14974.39999999851,420,245
14992.199999999255,419,241
15008.099999999627,419,241
15025.199999999255,420,240
15041.199999999255,420,240
15058.799999998882,418,240
15074.699999999255,418,240
15091.099999999627,418,242
15107.89999999851,418,242
15124.799999998882,432,240
15141.5,432,240
15160.099999999627,430,232
15173.599999999627,430,232
15190.799999998882,435,231
15206.699999999255,435,231
15225.199999999255,436,229
15240.39999999851,436,229
15258.599999999627,433,235
15273.699999999255,433,235
15291.89999999851,434,230
15307.099999999627,434,230
15325.199999999255,435,229
15341.299999998882,435,229
15358.599999999627,442,232
15374.39999999851,442,232
15391.199999999255,438,226
15408,438,226
15425.299999998882,437,226
15440.5,437,226
15458.89999999851,446,220
15474.5,446,220
15491.799999998882,436,225
15507.799999998882,436,225
15524.199999999255,435,223
15541.39999999851,435,223
15558.599999999627,435,225
15574.799999998882,435,225
15592,434,224
15608,434,224
15625.299999998882,442,215
15640.599999999627,442,215
15659,434,217
15674.599999999627,434,217
15691.89999999851,432,220
15708,432,220
15725.199999999255,431,221
15740.699999999255,431,221
15758.5,429,223
15774.299999998882,429,223
15790.89999999851,434,217
15807.599999999627,434,217
15825.299999998882,436,215
15841.39999999851,436,215
15858.799999998882,432,215
15874.39999999851,432,215
15891.699999999255,443,205
15907.89999999851,443,205
15925.099999999627,431,213
15941.299999998882,431,213
15958.5,428,214
15974.799999998882,428,214
15992.199999999255,425,215
16008,425,215
16025.5,421,218
16041.5,421,218
16059,418,220
16076.39999999851,418,220
16091.599999999627,427,211
16108,427,211
16125.099999999627,416,214
16141.39999999851,416,214
16158.599999999627,414,221
16173.89999999851,414,221
16192.099999999627,412,219
16207,412,219
16225.299999998882,411,221
16240.5,411,221
16259,411,221
16274.599999999627,411,221
16291.799999998882,418,218
16307.199999999255,418,218
16325.199999999255,420,226
16341.39999999851,420,226
16358.599999999627,415,229
16374.799999998882,415,229
16392,418,232
16407.699999999255,418,232
16424.39999999851,425,225
16441.39999999851,425,225
16457.699999999255,429,226
16474.5,429,226
16491.89999999851,431,227
16507.199999999255,431,227
16525.299999998882,436,229
16541.39999999851,436,229
16557.799999998882,434,228
16574.799999998882,434,228
16592.199999999255,437,229
16607.89999999851,437,229
16624,438,231
16640.39999999851,438,231
16658.599999999627,438,234
16674.39999999851,438,234
16691,441,235
16707.89999999851,441,235
16724.5,443,230
16740.599999999627,443,230
16758.699999999255,447,228
16773.89999999851,447,228
16792.099999999627,451,229
